City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,275.85,71,98,13.19,TF,1729727656
1,vilyuchinsk,52.9306,158.4028,276.3,95,100,3.26,RU,1729727657
2,talnakh,69.4865,88.3972,255.46,95,88,3.5,RU,1729727658
3,hadibu,12.65,54.0333,299.77,85,35,0.8,YE,1729727659
4,alta,69.9689,23.2717,271.74,86,40,0.51,NO,1729727661
5,college,64.8569,-147.8028,273.19,68,75,4.12,US,1729727662
6,kavieng,-2.5744,150.7967,299.94,88,100,8.71,PG,1729727663
7,puerto natales,-51.7236,-72.4875,280.12,91,100,2.32,CL,1729727651
8,edinburgh of the seven seas,-37.0676,-12.3116,287.38,90,100,16.18,SH,1729727666
9,seven pagodas,12.6264,80.1722,300.2,75,96,2.71,IN,1729727668
10,santo antonio,-6.3106,-35.4789,296.72,75,49,4.57,BR,1729727669
11,luanda,-8.8368,13.2343,298.15,83,75,3.09,AO,1729727670
12,soe,-9.8607,124.284,300.31,47,36,1.09,ID,1729727672
13,waitangi,-43.9535,-176.5597,285.52,91,31,10.25,NZ,1729727674
14,fort bragg,35.139,-79.006,294.9,67,0,1.54,US,1729727675
15,zakamensk,50.3741,103.2863,271.67,90,89,1.43,RU,1729727676
16,tiksi,71.6872,128.8694,252.57,95,58,1.31,RU,1729727679
17,hamilton,39.1834,-84.5333,294.47,42,61,4.02,US,1729727680
18,ushuaia,-54.8,-68.3,281.96,61,0,8.75,AR,1729727681
19,vorgashor,67.5833,63.95,268.18,92,94,2.6,RU,1729727683
20,papatowai,-46.5619,169.4708,287.53,89,100,2.84,NZ,1729727545
21,colon,9.3592,-79.9014,299.34,87,74,2.24,PA,1729727685
22,santa elena de uairen,4.6167,-61.1333,296.8,55,92,1.31,VE,1729727686
23,hermanus,-34.4187,19.2345,291.37,64,61,0.95,ZA,1729727688
24,kapuskasing,49.4169,-82.4331,275.2,93,75,2.57,CA,1729727689
25,rio grande,-32.035,-52.0986,293.11,95,54,7.23,BR,1729727691
26,altai,46.3722,96.2583,275.91,52,46,0.96,MN,1729727692
27,minas de marcona,-15.2119,-75.1103,287.76,81,9,5.61,PE,1729727693
28,as salamiyah,35.0113,37.0532,285.47,29,0,1.75,SY,1729727694
29,tangalle,6.024,80.7911,298.58,88,100,3.64,LK,1729727696
30,adamstown,-25.066,-130.1015,293.95,76,70,7.73,PN,1729727697
31,pacific grove,36.6177,-121.9166,295.57,71,0,2.06,US,1729727698
32,mbuji-mayi,-6.15,23.6,294.18,93,97,1.38,CD,1729727700
33,grytviken,-54.2811,-36.5092,270.54,75,29,7.3,GS,1729727701
34,bethel,41.3712,-73.414,291.61,84,0,0.89,US,1729727702
35,blackmans bay,-43.0167,147.3167,285.11,61,23,0.89,AU,1729727703
36,kalemie,-5.9475,29.1947,295.22,84,43,2.87,CD,1729727705
37,ghadamis,30.1337,9.5007,297.58,28,31,6.7,LY,1729727706
38,kodiak,57.79,-152.4072,280.88,46,20,7.2,US,1729727707
39,manokwari,-0.8667,134.0833,301.18,75,99,4.84,ID,1729727709
